Date,Title,Author
3/16/2003,The Dante Club,Matthew Pearl
3/16/2003,Drop City,T. Coraghessan Boyle
3/23/2003,The Jester ,James Patternson & Andrew Gross
3/23/2003,Dating Game,Danielle Steel
3/23/2003,Tatooine Ghost,Troy Denning
3/23/2003,The Tail of the Tip-Off,Rita Mae Brown & Sneaky Pie Brown
3/30/2003,Back Story,Robert B. Parker
3/30/2003,The Vanished Man,Jeffery Deaver
3/30/2003,Ties that Bind,Phillip Margolin
4/6/2003,The Da Vinci Code,Dan Brown
4/6/2003,The Reluctant Suitor,Kathleen E. Woodiwiss
4/13/2003,,
4/20/2003,Birthright,Nora Roberts
4/20/2003,Cerulean Sins,Laurell K. Hamilton
4/20/2003,Lost Light,Michael Connelly
4/20/2003,Dead Aim,Iris Johansen
4/20/2003,Children of the Storm,Elizabeth Peters
4/20/2003,Sharpe's Havoc,Bernard Cornwall
4/20/2003,Twelve Times Blessed,Jacquelyn Mitchard
4/27/2003,Armageddon ,Tim LaHaye & Jerry B. Jenkins
4/27/2003,The Guardian,Micholas Sparks
5/4/2003,The Second Time Around,Mary Higgins Clark
5/4/2003,Dirty Work,Stuart Woods
5/4/2003,All He Ever Wanted,Anita Shreve
5/4/2003,The Devil Wears Prada,Lauren Weisberger
5/4/2003,Shutter Island,Dennis Lehane
5/11/2003,Wild Orchids,Jude Deveraux
5/18/2003,No Second Chance,Harlan Coben
5/18/2003,A Cold Heart,Jonathan Kellerman
5/18/2003,Late for the Wedding,Amanda Quick
5/18/2003,The Kalahari Typing School for Men,Alexander McCall Smith
5/18/2003,Villa Incognito,Tom Robbins
5/25/2003,The Sinister Pig,Tony Hillerman
5/25/2003,Executive Power,Vince Flynn
5/25/2003,Oryx and Crake,Margaret Atwood
6/1/2003,Naked Prey ,John Sandofrd
6/1/2003,The Traveler's Gift,Andy Andrews
6/1/2003,The Other Woman,Eric Jerome Dickey
6/1/2003,The Wandering Hill,Larry McMurtry
6/8/2003,,
6/15/2003,The Face ,Dean Koontz
6/15/2003,Dead Ringer,Lisa Scottoline
6/22/2003,,
6/29/2003,The Lake House,James Patterson 
6/29/2003,Flirting with Pete,Barbara Delinsky
6/29/2003,Gettysburg,Newt Gingrich & William R. Forstchen
6/29/2003,The Dogs of Babel,Carolyn Parkhurt
7/6/2003,White Death,Clive Cussler & Paul Kemprecos
7/6/2003,Die in Plain Sight,Elizabeth Lowell
7/13/2003,Isle of Palms,Dorothea Benton Frank
7/13/2003,The Probable Future,Alice Hoffman
7/20/2003,Johnny Angel ,Dannielle Steel
7/20/2003,Trading Up ,Candance Bushnell
7/20/2003,Bad Company,Jack Higgins
7/20/2003,Bare Bones,Kathy Reichs
7/20/2003,A Man to Call My Own,Johanna Lindsey
7/27/2003,"Lucia, Lucia",Adrianna Trigiani
8/3/2003,To the Nines,Janet Evanovich 
8/3/2003,Gone Too Far,Suzanne Brockmann
8/3/2003,Seizure,Robin Cook
8/3/2003,Lawrence Sanders: McNally's Dare,Vincent Lardo
8/10/2003,Naked Empire,Terry Goodkind
8/10/2003,Exit Wounds,J.A. Jance
8/17/2003,Blindside,Catherine Coulter
8/18/2003,A Place of Hiding,Elizabth George
8/17/2003,The Curious Incident of the Dog in the Night-Time,Mark Haddon
8/24/2003,Street Dreams,Faye Kellerman
8/31/2003,The Teeth of the Tiger,Tom Clancy
8/31/2003,Beachcomber,Karen Robards
8/31/2003,The Footprints of God,Greg Iles
9/7/2003,The Sinner,Tess Gerritsen
9/7/2003,Sense of Evil,Kay Hooper
9/7/2003,Love Me,Garrison Keillor
9/14/2003,High Druid of Shannara: Jarka Ruus,Terry Brooks
9/14/2003,Diary,Chuck Palahniuk
9/14/2003,No Graves As Yet,Anne Perry
9/21/2003,The Namesake,Jhumpa Lahiri
9/28/2003,Bleachers ,John Grisham 
9/28/2003,The Wedding,Nicholas Sparks
9/28/2003,Fatal Tide,Iris Johansen
9/28/2003,The Jericho Sanction,Oliver North & Joe Musser
10/5/2003,Remember When,Nora Roberts & J.D. Robb
10/5/2003,Dune: The Machine Crusade,Brian Herbert & Kevin J. Anderson
10/5/2003,The Fortress of Solitude,Jonathan Lethem
10/12/2003,The Five People You Meet in Heaven,Mitch Albom
10/12/2003,Quicksilver,Neal Stephenson
10/12/2003,Last Car to Elysian Fields,James Lee Burke
10/12/2003,The Red Hat Club ,Haywood Smith
10/19/2003,Split Second,David Baldacci
10/19/2003,A Perfect Day,Richard Paul Evans
10/19/2003,Lord John and the Private Matter ,Diana Gabaldon
10/19/2003,Stone Cold,Robert B. Parker
10/19/2003,Avenger,Frederick Forsyth
10/19/2003,Blacklist,Sara Paretsky
10/19/2003,The Pleasure of my Company,Steve Martini
10/26/2003,"Hello, Darkness",Sandra Brown
11/2/2003,Blow Fly,Patricia Cronwell
11/2/2003,Capital Crimes,Stuart Woods
11/2/2003,Balance of Power,Richard North Patterson
11/9/2003,Shepards Abiding,Jan Karon 
11/9/2003,Babylon Rising,Tim LaHaye & Greg Dinallo
11/9/2003,The Time Traveler's Wife,Audrey Niffenegger
11/16/2003,Blood Canticle,Anne Rice
11/16/2003,The Lone Drow,R.A. Salvatore
11/16/2003,The Tristian Betrayal,Robert Ludlam
11/16/2003,Love,Toni Morrison
11/16/2003,Naughty or Nice,Eric Jerome Dickey
11/23/2003,The Dark Tower: Volume 1-5,Stephen King
11/23/2003,Safe Harbour,Danielle Steel
11/23/2003,Cry No More,Linda Howard
11/23/2003,The New Jedi Order: The Unifying Force,James Luceno
11/30/2003,The Hanged Man's Song,John Sandford
12/7/2003,The Big Bad Wolf,James Patterson
12/7/2003,The Murder Room,P.D. James
12/7/2003,The Hornet's Nest,Jimmy Carter
12/7/2003,Pompeii,Robert Harris
12/7/2003,The Christmas Blessing,Donna VanLiere
12/14/2003,Trojan Odyssey,Clive Cussler
12/14/2003,The Conspiracy Club,Jonathan Kellerman
12/21/2003,,
12/28/2003,Odd Thomas,Dean Koontz
1/4/2004,,
1/11/2004,,
1/18/2004,Truth or Dare,Jayne Ann Krentz
1/18/2004,The Lady and the Unicorn,Tracy Chevalier
1/18/2004,Sunny Chandler's Return,Sandra Brown
1/18/2004,Angels & Demons,Dan Brown
1/18/2004,Crown Jewel ,Fern Michaels
1/25/2004,New Spring: The novel,Robert Jordan
1/25/2004,"Retreat, Hell!",W.E.B Griffin
1/25/2004,The Amateur Marriage,Anne Tyler
